Stock_Name,Trade_Type,Account,Date,Result_Value
CM,Limit Buy,RRSP,"March 3, 2023",$252.00
CM,Limit Buy,RRSP,"March 3, 2023","$3,465.00"
BMO,Limit Buy,RRSP,"March 3, 2023",Cancelled
BNS,Market Buy,RRSP,"March 3, 2023",Cancelled
TD,Limit Buy,RRSP,"March 3, 2023","$2,225.00"
RY,Limit Buy,RRSP,"March 3, 2023","$1,360.00"
Deposit,,RRSP,"Feb 28, 2023","$8,718.00"
Deposit,,RRSP,"Feb 27, 2023","$5,000.00"
T,Limit Buy,TFSA,"February 21, 2023","$1,674.00"
PZA,Dividend,TFSA,"Feb 15, 2023",$7.00
Deposit,,TFSA,"Jan 13, 2023","$1,500.00"
PZA,Dividend,TFSA,"Jan 13, 2023",$7.00
CEU,Dividend,TFSA,"Jan 13, 2023",$21.00
CNQ,Dividend,TFSA,"Jan 5, 2023",$34.00
T,Dividend,TFSA,"Jan 3, 2023",$50.91
PPL,Dividend,TFSA,"Dec 30, 2022",$6.53
CVE,Dividend,TFSA,"Dec 30, 2022",$9.45
PZA,Dividend,TFSA,"Dec 15, 2022",$7.00
PPL,Dividend,TFSA,"Dec 15, 2022",$6.53
CVE,Dividend,TFSA,"Dec 2, 2022",$10.26
PPL,Dividend,TFSA,"Nov 15, 2022",$6.53
PZA,Dividend,TFSA,"Nov 15, 2022",$6.75
INFY,Dividend,TFSA,"Nov 14, 2022",$1.13
T,Limit Buy,TFSA,"October 27, 2022",$113.88
CEU,Dividend,TFSA,"Oct 14, 2022",$16.80
PPL,Dividend,TFSA,"Oct 14, 2022",$6.53
PZA,Dividend,TFSA,"Oct 14, 2022",$6.75
CNQ,Dividend,TFSA,"Oct 5, 2022",$18.75
T,Dividend,TFSA,"Oct 3, 2022",$47.74
CVE,Dividend,TFSA,"Sep 29, 2022",$5.46
CNQ,Limit Buy,TFSA,"September 20, 2022","$1,066.05"
Deposit,,TFSA,"Sep 20, 2022",$50.00
CVE,Limit Buy,TFSA,"September 20, 2022",$932.90
CEU,Limit Buy,TFSA,"September 20, 2022","$1,075.50"
Deposit,,TFSA,"Sep 20, 2022","$3,000.00"
PPL,Dividend,TFSA,"Sep 15, 2022",$6.30
PZA,Dividend,TFSA,"Sep 15, 2022",$6.75
CEU,Market Buy,TFSA,"September 13, 2022",$121.50
CNQ,Limit Buy,TFSA,"August 25, 2022","$1,858.00"
Deposit,,TFSA,"Aug 25, 2022",$70.00
PPL,Dividend,TFSA,"Aug 15, 2022",$6.30
PZA,Dividend,TFSA,"Aug 15, 2022",$6.75
CVE,Limit Buy,TFSA,"August 8, 2022",Cancelled
PPL,Dividend,TFSA,"Jul 15, 2022",$6.30
PZA,Dividend,TFSA,"Jul 15, 2022",$6.75
CEU,Dividend,TFSA,"Jul 15, 2022",$8.80
T,Dividend,TFSA,"Jul 4, 2022",$13.88
CVE,Dividend,TFSA,"Jun 30, 2022",$5.46
INFY,Dividend,TFSA,"Jun 30, 2022",$1.10
BBD.B,Limit Sell,TFSA,"June 21, 2022","$1,856.00"
T,Limit Sell,TFSA,"June 21, 2022",Cancelled
ATH,Limit Sell,TFSA,"June 21, 2022",Cancelled
PPL,Dividend,TFSA,"Jun 15, 2022",$6.30
PZA,Dividend,TFSA,"Jun 15, 2022",$6.50
ATH,Limit Buy,TFSA,"June 14, 2022","$2,134.65"
T,Market Buy,TFSA,"June 14, 2022","$2,984.50"
BBD.B,Limit Sell,TFSA,"June 10, 2022",Cancelled
BBD.B,Limit Buy,TFSA,"June 10, 2022","$1,590.00"
ATH,Limit Sell,TFSA,"June 7, 2022","$6,710.81"
ATH,Limit Sell,TFSA,"June 7, 2022",Cancelled
ATH,Limit Buy,TFSA,"June 7, 2022","$6,593.16"
ATH,Market Sell,TFSA,"June 7, 2022","$6,513.00"
ATH,Limit Sell,TFSA,"June 7, 2022",Cancelled
ATH,Limit Buy,TFSA,"June 6, 2022","$6,103.50"
CVE,Limit Sell,TFSA,"May 27, 2022",Cancelled
SHOP,Limit Buy,TFSA,"May 24, 2022",Cancelled
Deposit,,TFSA,"May 24, 2022",$610.00
Deposit,,Crypto,"May 20, 2022",Cancelled
WCP,Limit Buy,TFSA,"May 20, 2022",Cancelled
Deposit,,TFSA,"May 20, 2022","$1,500.00"
WCP,Limit Buy,TFSA,"May 19, 2022",Cancelled
BBD.B,Limit Buy,TFSA,"May 18, 2022",Cancelled
WCP,Limit Sell,TFSA,"May 16, 2022","$4,066.21"
WCP,Limit Buy,TFSA,"May 16, 2022","$4,008.96"
WCP,Limit Sell,TFSA,"May 16, 2022","$4,010.01"
WCP,Limit Sell,TFSA,"May 16, 2022",Cancelled
WCP,Limit Buy,TFSA,"May 16, 2022","$4,002.35"
Deposit,,TFSA,"May 16, 2022","$1,500.00"
CNQ,Limit Sell,TFSA,"May 16, 2022","$2,430.00"
CNQ,Limit Sell,TFSA,"May 16, 2022",Cancelled
WCP,Dividend,TFSA,"May 16, 2022",$6.39
PPL,Dividend,TFSA,"May 13, 2022",$6.30
PZA,Dividend,TFSA,"May 13, 2022",$6.50
CNQ,Limit Sell,TFSA,"May 11, 2022",Cancelled
CNQ,Limit Buy,TFSA,"May 11, 2022","$2,370.00"
WCP,Limit Sell,TFSA,"May 6, 2022","$2,304.66"
WCP,Limit Sell,TFSA,"May 6, 2022",Cancelled
WCP,Limit Sell,TFSA,"April 29, 2022",Cancelled
WCP,Limit Sell,TFSA,"April 27, 2022",Cancelled
WCP,Limit Buy,TFSA,"April 25, 2022",$997.00
Deposit,,TFSA,"Apr 25, 2022","$1,000.00"
WCP,Limit Sell,TFSA,"April 19, 2022",Cancelled
WCP,Limit Buy,TFSA,"April 19, 2022","$1,243.63"
AQN,Limit Sell,TFSA,"April 19, 2022","$1,242.99"
AQN,Limit Sell,TFSA,"April 19, 2022",Cancelled
AQN,Limit Sell,TFSA,"April 18, 2022",Cancelled
AQN,Limit Sell,TFSA,"April 18, 2022",Cancelled
AQN,Limit Buy,TFSA,"April 18, 2022","$1,233.54"
CEU,Dividend,TFSA,"Apr 18, 2022",$0.37
AC,Limit Buy,TFSA,"April 14, 2022",Cancelled
PZA,Dividend,TFSA,"Apr 14, 2022",$6.50
PPL,Dividend,TFSA,"Apr 14, 2022",$6.30
AC,Limit Sell,TFSA,"April 12, 2022","$1,222.02"
